"","Est","lci","uci","var","outcome_name"
"1",0.00191399828222459,0.00190691663209786,0.00192110623122966,"anxiety","Anxiety"
"2",0.957499250092288,0.950256112052608,0.964797597509731,"anxiety","Anxiety"
"3",0.999221920449084,0.999205508512588,0.999238332655145,"anxiety","Anxiety"
"4",0.940285163661124,0.936328116165335,0.944258934167377,"anxiety","Anxiety"
"5",0.921266919324966,0.917331507030169,0.925219214796467,"anxiety","Anxiety"
"6",0.828998144726678,0.825220210406801,0.832793374778707,"anxiety","Anxiety"
"7",0.820428525733982,0.816585051909339,0.824290089886149,"anxiety","Anxiety"
"8",0.907218283816081,0.903100817637152,0.911354522569904,"anxiety","Anxiety"
"9",0.864121456218177,0.860212573829639,0.868048100915699,"anxiety","Anxiety"
"10",0.809268782433092,0.805453906016405,0.81310172727302,"anxiety","Anxiety"
"11",0.960432442093674,0.956175234058517,0.964708604625464,"anxiety","Anxiety"
"12",0.955533135392649,0.951229746618932,0.959855992812089,"anxiety","Anxiety"
"13",0.99189540554534,0.987436262627116,0.996374685414492,"anxiety","Anxiety"
"14",0.757013022839836,0.753452143595629,0.760590731103775,"anxiety","Anxiety"
"15",1.00268318236961,1.00262627090806,1.00274009706159,"anxiety","Anxiety"
"16",1.00842175334678,1.00757228028185,1.00927194259308,"anxiety","Anxiety"
"17",0.00242063472134433,0.00241315460719641,0.00242813802178437,"depression","Depression"
"18",0.937803594483463,0.931538510083599,0.94411081485743,"depression","Depression"
"19",0.997897093171911,0.997883334825089,0.997910851708427,"depression","Depression"
"20",0.939164824722151,0.935887223662993,0.942453904374488,"depression","Depression"
"21",0.903974034527769,0.900775865863072,0.907183558162326,"depression","Depression"
"22",0.802122584099075,0.799093926564402,0.805162720592801,"depression","Depression"
"23",0.788101873803575,0.78503585960138,0.791179862545498,"depression","Depression"
"24",0.907311278182682,0.903911700971503,0.91072364107326,"depression","Depression"
"25",0.862875287274273,0.859660158861559,0.866102440265076,"depression","Depression"
"26",0.800482164855311,0.797353789793274,0.803622813930032,"depression","Depression"
"27",0.944615223288092,0.941127848071702,0.948115521069599,"depression","Depression"
"28",0.943227240563805,0.939702125673592,0.946765579256168,"depression","Depression"
"29",0.998902767918708,0.99517593344228,1.00264355901803,"depression","Depression"
"30",0.779774454683809,0.776758789290412,0.782801828007505,"depression","Depression"
"31",1.00295680186778,1.00292182411506,1.00299178084038,"depression","Depression"
"32",1.01220336580058,1.01144785156938,1.01295944437304,"depression","Depression"
"33",5.02698689341341e-05,4.91467386413711e-05,5.14186656635599e-05,"feedingDisorder","Eating Disorders"
"34",1.03842848320505,0.993569420278753,1.0853129058954,"feedingDisorder","Eating Disorders"
"35",0.998859993085449,0.99876057626033,0.998959419806538,"feedingDisorder","Eating Disorders"
"36",0.961070915594132,0.937223237918437,0.985525398252371,"feedingDisorder","Eating Disorders"
"37",0.899700924683705,0.876686910252479,0.923319082799577,"feedingDisorder","Eating Disorders"
"38",0.794427808570538,0.772568006446092,0.816906133523956,"feedingDisorder","Eating Disorders"
"39",0.810742499353844,0.787940477713461,0.834204383262501,"feedingDisorder","Eating Disorders"
"40",0.875317897711725,0.851329726966309,0.899981990273899,"feedingDisorder","Eating Disorders"
"41",0.858458360738986,0.835182358956539,0.882383049904694,"feedingDisorder","Eating Disorders"
"42",0.7790754765749,0.756846457749416,0.801957374558217,"feedingDisorder","Eating Disorders"
"43",0.928565865400973,0.903674639538145,0.954142706526027,"feedingDisorder","Eating Disorders"
"44",0.974884239588278,0.948668896305953,1.00182401288627,"feedingDisorder","Eating Disorders"
"45",1.0562040220001,1.02814065022323,1.08503339095384,"feedingDisorder","Eating Disorders"
"46",0.78920826268144,0.767114400372236,0.811938456092629,"feedingDisorder","Eating Disorders"
"47",1.01828645721052,1.01633369297677,1.02024297344834,"feedingDisorder","Eating Disorders"
"48",1.02470147953358,1.01980038501449,1.02962612839511,"feedingDisorder","Eating Disorders"
"49",3.09984073416899e-05,3.01430846798916e-05,3.18780001425119e-05,"ocd","OCD"
"50",1.02907143728513,0.971588793284691,1.08995495867744,"ocd","OCD"
"51",0.998407123791114,0.998284150310934,0.998530112419762,"ocd","OCD"
"52",0.964440134507474,0.934715374638986,0.995110167528852,"ocd","OCD"
"53",0.920321299674893,0.891176783344161,0.950418940961332,"ocd","OCD"
"54",0.818263131295881,0.790789512872379,0.846691238489143,"ocd","OCD"
"55",0.819627163267154,0.791179724714106,0.849097450023904,"ocd","OCD"
"56",0.889246944647833,0.859335296512649,0.920199754129227,"ocd","OCD"
"57",0.888505029442718,0.859092472089775,0.918924577961508,"ocd","OCD"
"58",0.800268868382552,0.7722391737156,0.82931594705418,"ocd","OCD"
"59",0.938887689404933,0.907945526502175,0.970884340068415,"ocd","OCD"
"60",0.943027842648944,0.911432376150407,0.975718588983246,"ocd","OCD"
"61",0.980026966013089,0.947234775890867,1.01395438444447,"ocd","OCD"
"62",0.781510902638084,0.754504311190231,0.809484163157027,"ocd","OCD"
"63",1.01331274785312,1.01020463664669,1.01643042183023,"ocd","OCD"
"64",1.00772137681011,1.00128741710145,1.01419667913112,"ocd","OCD"
"65",0.000298656224712184,0.000295664761052934,0.000301677955268282,"selfharm","Self-harm"
"66",0.820327484983315,0.803173053791844,0.837848306093016,"selfharm","Self-harm"
"67",1.00078043732821,1.00073396237053,1.00082691444423,"selfharm","Self-harm"
"68",0.993770914931158,0.982442965594936,1.00522947992718,"selfharm","Self-harm"
"69",0.92138098520708,0.910720995535042,0.932165750063137,"selfharm","Self-harm"
